"Justin Tucker, Ravens"
"Evan McPherson, Bengals"
"Daniel Carlson, Raiders"
"Tyler Bass, Bills"
"Greg Zuerlein, Jets"
"Harrison Butker, Chiefs"
"Riley Patterson, Lions"
"Jason Sanders, Dolphins"
"Jake Elliott, Eagles"
"Cameron Dicker, Chargers"
"Younghoe Koo, Falcons"
"Matt Gay, Colts"
"Jason Myers, Seahawks"
"Brandon McManus, Jaguars"
"Graham Gano, Giants"
"Nick Folk, Patriots"
"Jake Moody, 49ers"
"Wil Lutz, Saints"
"Greg Joseph, Vikings"
"Tristan Vizcaino, Cowboys"
"Chris Boswell, Steelers"
"Cade York, Browns"
"Joey Slye, Commanders"
"Eddy Pineiro, Panthers"
"Cairo Santos, Bears"
"Matt Prater, Cardinals"
"Ka'imi Fairbairn, Texans"
"Chase McLaughlin, Buccaneers"
"Tanner Brown, Rams"
"Elliott Fry, Broncos"
"Anders Carlson, Packers"
"Caleb Shudak, Titans"
