Teams,Sep. 10,Sep. 17,Sep. 24,Oct. 1,Oct. 8,Oct. 15,Oct. 22,Oct. 29,Nov. 5,Nov. 12,Nov. 19,Nov. 26,Dec. 3,Dec. 10,Dec. 17,Dec. 24,Dec. 31,Jan. 6 or 7
Arizona Cardinals,@ Commanders,vs. Giants,vs. Cowboys,@ 49ers,vs. Bengals,@ Rams,@ Seahawks,vs. Ravens,@ Browns,vs. Falcons,@ Texans,vs. Rams,@ Steelers,BYE,vs. 49ers,@ Bears,@ Eagles,vs. Seahawks
Atlanta Falcons,vs. Panthers,vs. Packers,@ Lions,@ Jaguars (London),vs. Texans,vs. Commanders,@ Buccaneers,@ Titans,vs. Vikings,@ Cardinals,BYE,vs. Saints,@ Jets,vs. Buccaneers,@ Panthers,vs. Colts,@ Bears,@ Saints
Baltimore Ravens,vs. Texans,@ Bengals,vs. Colts,@ Browns,@ Steelers,@ Titans (London),vs. Lions,@ Cardinals,vs. Seahawks,vs. Browns,vs. Bengals (TNF),@ Chargers (SNF),BYE,vs. Rams,@ Jaguars (SNF),@ 49ers (MNF),vs. Dolphins,vs. Steelers
Buffalo Bills,@ Jets (MNF),vs Raiders,@ Commanders,vs. Dolphins,vs. Jaguars (London),vs. Giants,@ Patriots,vs. Buccaneers (TNF),@ Bengals,vs. Broncos (MNF),vs. Jets,@ Eagles,BYE,@ Chiefs,vs. Cowboys,@ Chargers,vs. Patriots,@ Dolphins
Carolina Panthers,@ Falcons,vs. Saints (MNF),@ Seahawks,vs. Vikings,@ Lions,@ Dolphins,BYE,vs. Texans,vs. Colts,@ Bears (TNF),vs. Cowboys,@ Titans,@ Buccaneers,@ Saints,vs. Falcons,vs. Packers,@ Jaguars,vs. Buccaneers
Chicago Bears,vs. Packers,@ Buccaneers,@ Chiefs,vs. Broncos,@ Commanders (TNF),vs. Vikings,vs. Raiders,@ Chargers (SNF),@ Saints,vs. Panthers (TNF),@ Lions,@ Vikings (MNF),BYE,vs. Lions,@ Browns,vs. Cardinals,vs. Falcons,@ Packers
Cincinnati Bengals,@ Browns,vs. Ravens,vs. Rams (MNF),@ Titans,@ Cardinals,vs. Seahawks,BYE,@ 49ers,vs. Bills (SNF),vs. Texans,@ Ravens (TNF),vs. Steelers,@ Jaguars (MNF),vs. Colts,vs. Vikings,@ Steelers,@ Chiefs,vs. Browns
Cleveland Browns,vs. Bengals,@ Steelers (MNF),vs. Titans,vs. Ravens,BYE,vs. 49ers,@ Colts,@ Seahawks,vs. Cardinals,@ Ravens,vs. Steelers,@ Broncos,@ Rams,vs. Jaguars,vs. Bears,@ Texans,vs. Jets (TNF),@ Bengals
Dallas Cowboys,@ Giants,vs. Jets,@ Cardinals,vs. Patriots,@ 49ers,@ Chargers (MNF),BYE,vs. Rams,@ Eagles,vs. Giants,@ Panthers,vs. Commanders,vs. Seahawks (TNF),vs. Eagles,@ Bills,@ Dolphins,vs. Lions,@ Commanders
Denver Broncos,vs. Raiders,vs. Commanders,@ Dolphins,@ Bears,vs. Jets,@ Chiefs (TNF),vs. Packers,vs. Chiefs,BYE,@ Bills (MNF),vs. Vikings (SNF),vs. Browns,@ Texans,@ Chargers,@ Lions,vs. Patriots,vs. Chargers,@ Raiders
Detroit Lions,@ Chiefs (TNF),vs. Seahawks,vs. Falcons,@ Packers (TNF),vs. Panthers,@ Buccaneers,@ Ravens,vs. Raiders (MNF),BYE,@ Chargers,vs. Bears,vs. Packers,@ Saints,@ Bears,vs. Broncos,@ Vikings,@ Cowboys,vs. Vikings
