2018,,,,,,,,,,,,
,,TEAM,POS,GMS,FIELD GOALS,,,,EXTRA POINTS,,PPG,FPTS
RK,NAME,,,,FG MADE,FG ATT,PCT,LNG,XP MADE,XP ATT,,
1,Ka'imi Fairbairn,HOU,K,16,37,42,88.1,54,39,41,9.9,158
2,Justin Tucker,BAL,K,16,35,39,89.7,56,36,37,9.4,151
3,Harrison Butker,KC,K,16,24,27,88.9,54,65,69,8.8,141
3,Jason Myers,NYJ,K,16,33,36,91.7,56,30,33,8.8,141
5,Wil Lutz,NO,K,16,28,30,93.3,54,52,53,8.8,140
6,Aldrick Rosas,NYG,K,16,32,33,97,57,31,32,8.4,135
7,Stephen Gostkowski,NE,K,16,27,32,84.4,52,49,50,8.4,134
7,Mason Crosby,GB,K,16,30,37,81.1,53,34,36,8.4,134
9,Brett Maher,DAL,K,16,29,36,80.6,62,32,33,8.2,131
10,Robbie Gould,SF,K,16,33,34,97.1,53,27,29,8.1,130
11,Matt Prater,DET,K,16,28,32,87.5,54,30,30,7.8,124.32
12,Greg Zuerlein,LAR,K,11,27,31,87.1,56,35,36,11.3,124
13,Adam Vinatieri,IND,K,16,23,27,85.2,54,44,47,7.6,121
14,Sebastian Janikowski,SEA,K,16,22,27,81.5,56,48,51,7.5,120
15,Jake Elliott,PHI,K,16,26,31,83.9,56,33,35,7.2,115
16,Cody Parkey,CHI,K,16,23,30,76.7,50,42,45,7.1,113
17,Ryan Succop,TEN,K,16,26,30,86.7,54,28,31,7,112
18,Dustin Hopkins,WAS,K,16,26,29,89.7,56,25,26,6.9,111
19,Matt Bryant,ATL,K,13,20,21,95.2,57,33,35,7.8,101
20,Randy Bullock,CIN,K,16,19,23,82.6,51,39,41,6.2,100
21,Stephen Hauschka,BUF,K,16,22,28,78.6,54,25,26,6.2,99
21,Brandon McManus,DEN,K,16,20,25,80,53,35,35,6.2,99
23,Dan Bailey,MIN,K,14,21,28,75,52,30,31,6.8,95
