2018,,,,,,,,,,,,,,,,
,,TEAM,POS,GMS,RUSHING,,,,RECEIVING,,,,FUMBLES,,PPG,FPTS
RK,NAME,,,,ATT,YDS,AVG,TD,TGTS,REC,YDS,TD,FUM,LST,,
1,Saquon Barkley,NYG,RB,16,261,1307,5,11,121,91,721,4,0,0,24.1,385.8
2,Christian McCaffrey,CAR,RB,16,219,1098,5,7,124,107,867,6,4,1,24.1,385.5
3,Todd Gurley II,LAR,RB,14,256,1251,4.9,17,81,59,580,4,1,1,26.6,372.1
4,Alvin Kamara SUS,NO,RB,15,194,883,4.6,14,105,81,709,4,1,0,23.6,354.2
5,Ezekiel Elliott,DAL,RB,15,304,1435,4.7,6,95,77,567,3,6,1,21.9,329.2
6,James Conner,PIT,RB,13,215,973,4.5,12,71,55,497,1,4,2,21.5,280
7,James White,NE,RB,16,94,425,4.5,5,123,87,751,7,0,0,17.3,276.6
8,Melvin Gordon III,LAC,RB,12,175,885,5.1,10,66,50,490,4,1,0,23,275.5
9,David Johnson,ARI,RB,16,258,940,3.6,7,76,50,446,3,3,2,15.4,246.6
10,Joe Mixon,CIN,RB,14,237,1168,4.9,8,55,43,296,1,0,0,17.4,243.4
11,Tarik Cohen,CHI,RB,16,99,444,4.5,3,91,71,725,5,7,3,14.6,233.94
12,Kareem Hunt,KC,RB,11,181,824,4.6,7,35,26,378,7,0,0,20.9,230.2
13,Phillip Lindsay,DEN,RB,15,192,1037,5.4,9,47,35,241,1,0,0,14.9,222.8
14,Kenyan Drake,MIA,RB,16,120,535,4.5,4,73,53,477,5,2,1,12.9,206.2
15,Chris Carson,SEA,RB,14,247,1151,4.7,9,24,20,163,0,3,2,14.4,201.4
16,Derrick Henry,TEN,RB,16,215,1059,4.9,12,18,15,99,0,1,1,12.6,201.36
17,Nick Chubb,CLE,RB,16,192,996,5.2,8,29,20,149,2,0,0,12.2,194.5
18,Tevin Coleman,ATL,RB,16,167,800,4.8,4,44,32,276,5,2,0,12.1,193.6
19,Adrian Peterson,WAS,RB,16,251,1042,4.2,7,26,20,208,1,3,2,11.8,189
20,Jordan Howard,CHI,RB,16,250,935,3.7,9,27,20,145,0,2,1,11.2,180
21,Marlon Mack IR,IND,RB,12,195,908,4.7,9,26,17,103,1,2,2,14.8,178.1
22,T.J. Yeldon,JAX,RB,14,104,414,4,1,77,55,487,4,1,1,12.4,173.1
23,Lamar Miller,HOU,RB,14,210,973,4.6,5,35,25,163,1,1,1,12.3,172.6
24,Aaron Jones,GB,RB,12,133,728,5.5,8,35,26,206,1,1,1,14.3,171.4
25,Austin Ekeler,LAC,RB,14,106,554,5.2,3,53,39,404,3,1,1,12.1,168.8
26,Matt Breida,SF,RB,14,153,814,5.3,3,31,27,261,2,1,1,11.6,162.5
27,Nyheim Hines,IND,RB,16,85,314,3.7,2,81,63,425,2,1,0,10.1,160.9
28,Dion Lewis,TEN,RB,16,155,517,3.3,1,67,59,400,1,1,1,10,160.7
29,Jalen Richard,LV,RB,16,55,259,4.7,1,81,68,607,0,3,2,9.8,156.6
30,Dalvin Cook,MIN,RB,11,133,615,4.6,2,49,40,305,2,2,2,13.8,152
31,Peyton Barber,TB,RB,16,234,871,3.7,5,29,20,92,1,1,1,9.4,150.3
32,Mark Ingram II,NO,RB,12,138,645,4.7,6,27,21,170,1,3,1,11.9,142.5
33,Isaiah Crowell,NYJ,RB,13,143,685,4.8,6,28,21,152,0,0,0,10.8,140.7
34,Kerryon Johnson,DET,RB,10,118,641,5.4,3,39,32,213,1,1,1,13.9,139.4
35,Sony Michel,NE,RB,13,209,931,4.5,6,11,7,50,0,1,1,10.7,139.1
36,Mike Davis,SEA,RB,15,112,514,4.6,4,42,34,214,1,0,0,9.1,136.8
37,Duke Johnson,CLE,RB,16,40,201,5,0,62,47,429,3,1,0,8.2,132
38,Latavius Murray,MIN,RB,16,140,578,4.1,6,26,22,141,0,0,0,8.2,131.9
39,LeSean McCoy,BUF,RB,14,161,514,3.2,3,46,34,238,0,0,0,9.1,127.2
40,Leonard Fournette,JAX,RB,8,133,439,3.3,5,26,22,185,1,0,0,15,120.4
41,Doug Martin,LV,RB,16,172,723,4.2,4,24,18,116,0,3,3,7.5,119.9
42,Wendell Smallwood,PHI,RB,16,87,364,4.2,3,35,28,230,2,2,1,7.3,117.4
43,Theo Riddick,DET,RB,14,40,171,4.3,0,74,61,384,0,0,0,8.3,116.5
44,Jamaal Williams,GB,RB,16,121,464,3.8,3,41,27,210,0,0,0,7.2,114.4
45,Alex Collins,BAL,RB,10,114,411,3.6,7,21,15,105,1,3,3,10.9,108.6
46,Frank Gore,MIA,RB,14,156,722,4.6,0,16,12,124,1,1,0,7.3,102.6
47,Royce Freeman,DEN,RB,14,130,521,4,5,20,14,72,0,1,1,7.2,101.3
48,Damien Williams,KC,RB,14,50,256,5.1,4,24,23,160,2,1,1,7,98.6
49,Carlos Hyde,JAX,RB,14,172,571,3.3,5,17,10,33,0,2,1,7,98.4
50,Ito Smith,ATL,RB,14,90,315,3.5,4,32,27,152,0,1,0,7,97.7
51,Alfred Blue,HOU,RB,16,150,499,3.3,2,27,20,154,0,0,0,6.1,97.3
52,Giovani Bernard,CIN,RB,12,56,211,3.8,3,48,35,218,0,0,0,8,95.9
53,Javorius Allen,BAL,RB,14,41,110,2.7,3,43,35,196,2,1,1,6.7,93.6
54,Chris Thompson,WAS,RB,10,43,178,4.1,0,55,41,268,1,1,0,9.2,91.6
55,Cordarrelle Patterson,NE,RB,15,42,228,5.4,1,28,21,247,3,1,1,6,90.5
56,Gus Edwards,BAL,RB,11,137,718,5.2,2,2,2,20,0,0,0,8.2,89.8
57,Jaylen Samuels,PIT,RB,14,56,256,4.6,0,29,26,199,3,1,0,6.4,89.5
58,Devontae Booker,DEN,RB,16,34,183,5.4,1,51,38,275,0,1,1,5.5,87.8
59,LeGarrette Blount,DET,RB,16,154,418,2.7,5,15,10,67,0,2,1,5.4,86.5
60,Elijah McGuire,NYJ,RB,8,92,276,3,3,31,19,193,1,2,2,10.7,85.9
61,Jacquizz Rodgers,TB,RB,16,33,106,3.2,1,45,38,304,0,1,1,5.2,83
62,Josh Adams,PHI,RB,13,120,511,4.3,3,13,7,58,0,1,1,6.3,81.9
63,Corey Clement,PHI,RB,11,68,259,3.8,2,25,22,192,0,4,0,7.4,81.1
64,Marshawn Lynch,LV,RB,6,90,376,4.2,3,20,15,84,0,0,0,13.2,79
64,Spencer Ware,KC,RB,13,51,246,4.8,2,23,20,224,0,0,0,6.1,79
66,Chris Ivory,BUF,RB,13,115,385,3.3,1,21,13,205,0,1,0,6,78
67,Rashaad Penny,SEA,RB,14,85,419,4.9,2,12,9,75,0,0,0,5,70.4
68,Alfred Morris,SF,RB,12,111,428,3.9,2,14,8,73,0,2,1,5.7,68.1
69,CJ Anderson,LAR,RB,11,67,403,6,2,9,5,41,1,0,0,6.1,67.4
