2018,,,,,,,,,,,,,,,,,,,,
,,TEAM,POS,GMS,RECEIVING,,,,,,,,RUSHING,,,,FUMBLES,,PPG,FPTS
RK,NAME,,,,TGTS,REC,PCT,YDS,TD,LNG,Y/T,Y/R,ATT,YDS,AVG,TD,FUM,LST,,
1,Travis Kelce,KC,TE,16,150,103,68.7,1336,10,43,8.9,13,0,0,0,0,2,1,18.4,294.6
2,Zach Ertz,PHI,TE,16,156,116,74.4,1163,8,34,7.5,10,0,0,0,0,1,0,17.5,280.3
3,George Kittle,SF,TE,16,136,88,64.7,1377,5,85,10.1,15.6,1,10,10,0,0,0,16.2,258.7
4,Eric Ebron,IND,TE,16,110,66,60,750,13,53,6.8,11.4,3,-8,-2.7,1,1,1,13.9,222.2
5,Jared Cook,LV,TE,16,101,68,67.3,896,6,45,8.9,13.2,0,0,0,0,0,0,12.1,193.6
6,Austin Hooper,ATL,TE,16,88,71,80.7,660,4,36,7.5,9.3,0,0,0,0,0,0,10.2,163
7,Kyle Rudolph,MIN,TE,16,81,64,79,634,4,44,7.8,9.9,0,0,0,0,0,0,9.5,151.4
8,Trey Burton,CHI,TE,16,77,54,70.1,569,6,47,7.4,10.5,1,2,2,0,1,1,9.2,147.1
9,David Njoku,CLE,TE,16,89,56,62.9,639,4,66,7.2,11.4,0,0,0,0,0,0,9,143.9
10,Vance McDonald,PIT,TE,15,73,50,68.5,610,4,75,8.4,12.2,0,0,0,0,2,1,8.9,133
11,Rob Gronkowski,NE,TE,13,72,47,65.3,682,3,42,9.5,14.5,0,0,0,0,1,1,10.1,131.2
12,Jimmy Graham,GB,TE,16,90,55,61.1,636,2,54,7.1,11.6,0,0,0,0,0,0,8.2,130.6
13,Evan Engram,NYG,TE,11,64,45,70.3,577,3,54,9,12.8,3,36,12,0,0,0,11.5,126.3
14,Devin Funchess,CAR,TE,14,79,44,55.7,549,4,27,6.9,12.5,0,0,0,0,0,0,8.8,122.9
15,O.J. Howard,TB,TE,10,48,34,70.8,565,5,75,11.8,16.6,0,0,0,0,0,0,12,120.5
16,Jordan Reed,WAS,TE,13,84,54,64.3,558,2,34,6.6,10.3,0,0,0,0,1,1,9.2,119.8
17,Chris Herndon,NYJ,TE,14,56,39,69.6,502,4,32,9,12.9,0,0,0,0,2,0,8.1,113.2
18,Mark Andrews,BAL,TE,16,50,34,68,552,3,74,11,16.2,0,0,0,0,0,0,6.7,107.2
19,C.J. Uzomah,CIN,TE,16,64,43,67.2,439,3,29,6.9,10.2,0,0,0,0,0,0,6.6,104.9
20,Cameron Brate,TB,TE,16,49,30,61.2,289,6,21,5.9,9.6,0,0,0,0,1,1,5.8,92.9
21,Dallas Goedert,PHI,TE,16,44,33,75,334,4,32,7.6,10.1,0,0,0,0,0,0,5.6,90.4
22,Benjamin Watson,NO,TE,16,46,35,76.1,400,2,32,8.7,11.4,0,0,0,0,0,0,5.4,87
23,Gerald Everett,LAR,TE,16,51,33,64.7,320,3,40,6.3,9.7,2,16,8,0,0,0,5.4,86.6
24,Jesse James,PIT,TE,16,39,30,76.9,423,2,51,10.8,14.1,0,0,0,0,0,0,5.3,84.3
25,Ian Thomas,CAR,TE,16,49,36,73.5,333,2,31,6.8,9.2,0,0,0,0,0,0,5.1,81.3
26,Greg Olsen,CAR,TE,9,38,27,71.1,291,4,23,7.7,10.8,0,0,0,0,0,0,8.9,80.1
27,Vernon Davis,WAS,TE,14,36,25,69.4,367,2,53,10.2,14.7,0,0,0,0,0,0,5.4,75.7
27,Blake Jarwin,DAL,TE,16,36,27,75,307,3,39,8.5,11.4,0,0,0,0,0,0,4.7,75.7
29,Antonio Gates,LAC,TE,16,46,28,60.9,333,2,27,7.2,11.9,0,0,0,0,1,1,4.7,75.3
30,Ricky Seals-Jones,ARI,TE,15,70,34,48.6,343,1,40,4.9,10.1,0,0,0,0,0,0,5,74.3
31,Nick Vannett,SEA,TE,15,43,29,67.4,269,3,32,6.3,9.3,0,0,0,0,1,0,4.9,73.9
32,Jeff Heuerman,DEN,TE,11,48,31,64.6,281,2,36,5.9,9.1,0,0,0,0,0,0,6.5,71.1
33,Tyler Higbee,LAR,TE,16,34,24,70.6,292,2,36,8.6,12.2,0,0,0,0,1,0,4.1,65.2
34,Jonnu Smith,TEN,TE,13,31,20,64.5,258,3,61,8.3,12.9,0,0,0,0,1,0,4.9,63.8
35,Jordan Matthews,PHI,TE,14,28,20,71.4,300,2,56,10.7,15,0,0,0,0,0,0,4.4,62
36,Jack Doyle,IND,TE,6,33,26,78.8,245,2,20,7.4,9.4,0,0,0,0,1,1,10.1,60.5
37,Rhett Ellison,NYG,TE,14,34,25,73.5,272,1,29,8,10.9,0,0,0,0,0,0,4.3,60.2
38,Geoff Swaim,DAL,TE,9,32,26,81.2,242,1,43,7.6,9.3,0,0,0,0,0,0,6.2,56.2
39,Jason Croom,BUF,TE,15,35,22,62.9,259,1,26,7.4,11.8,0,0,0,1,2,2,3.7,55.9
40,Matt LaCosse,DEN,TE,15,37,24,64.9,250,1,44,6.8,10.4,0,0,0,0,0,0,3.7,55
41,Ryan Griffin,HOU,TE,14,43,24,55.8,305,0,47,7.1,12.7,0,0,0,0,0,0,3.9,54.5
42,Levine Toilolo,DET,TE,16,24,21,87.5,263,1,39,11,12.5,0,0,0,0,0,0,3.3,53.3
43,Anthony Firkser,TEN,TE,10,20,19,95,225,1,28,11.2,11.8,0,0,0,0,0,0,4.8,47.5
44,Demetrius Harris,KC,TE,15,25,12,48,164,3,35,6.6,13.7,0,0,0,0,0,0,3.1,46.4
45,Virgil Green,LAC,TE,16,27,19,70.4,210,1,26,7.8,11.1,0,0,0,0,0,0,2.9,46
46,James O'Shaughnessy,JAX,TE,14,38,24,63.2,214,0,17,5.6,8.9,0,0,0,0,0,0,3.2,45.4
47,Ed Dickson,SEA,TE,10,13,12,92.3,143,3,42,11,11.9,1,9,9,0,0,0,4.5,45.2
48,Luke Stocker,TEN,TE,16,21,15,71.4,165,2,31,7.9,11,1,0,0,0,0,0,2.7,43.5
49,Lance Kendricks,GB,TE,16,25,19,76,170,1,22,6.8,8.9,0,0,0,0,0,0,2.6,42
50,Darren Fells,CLE,TE,16,12,11,91.7,117,3,49,9.8,10.6,0,0,0,0,0,0,2.5,40.7
51,Josh Hill,NO,TE,16,24,16,66.7,185,1,23,7.7,11.6,0,0,0,0,0,0,2.5,40.5
